listing_id,source_payload_sha256,action,expected_status,new_status,also_hold_price,expected_price_status,new_price_status,price_hold_origin,conflict_reason,canary_category,canary_priority
admission_008b8962931c6ebc9bfd1ee4391342cfc941873227ce6b9cb37e29fee6a7b1cb,854e384a3dc9de27f129144e2c28194c30ae6ddb6f3e6a404c7e530321970fb5,QUARANTINE_RESIDUAL_IDENTITY_CONFLICT,APPROVED_SINGLE_CANDIDATE,QUARANTINED_IDENTITY_CONFLICT,FALSE,,,,RESIDUAL_TAG_ROLEX_CATALOG_IDENTITY,RESIDUAL_IDENTITY_OTHER,1000
admission_03c043a2767bc900a5a5724be0502d482fa0178951f14b4b728d92d9cdc2ed53,0d7ad26ae3969140dbb69f6a9694e9b991069f71753ff51179465c043470d98c,QUARANTINE_RESIDUAL_IDENTITY_CONFLICT,APPROVED_SINGLE_CANDIDATE,QUARANTINED_IDENTITY_CONFLICT,TRUE,SOURCE_EXPLICIT_USD_MATCH,PRICE_EVIDENCE_INCOMPLETE,LIVE_QUALIFIED,RESIDUAL_TAG_RICHARD_MILLE_SHORTHAND,RESIDUAL_IDENTITY_OTHER,1000
admission_0857e83b2fc8d5caf5497288f15f5932a3a979076658448598fa1742d77d03d5,b26b4d98ae35c93b4e449447fa58eac5b325064ac01653dc8a85b867eb317355,QUARANTINE_RESIDUAL_IDENTITY_CONFLICT,APPROVED_SINGLE_CANDIDATE,QUARANTINED_IDENTITY_CONFLICT,FALSE,,,,RESIDUAL_TAG_ROLEX_CATALOG_IDENTITY,RESIDUAL_IDENTITY_OTHER,1000
admission_08a58e20d13271e658885f57de7320b69cbafac162f778755681ad97594122f5,7a76e44e684f4057c3df609f3a9592d98589b36fccc28fb4f592d7568fbccc5b,QUARANTINE_RESIDUAL_IDENTITY_CONFLICT,APPROVED_SINGLE_CANDIDATE,QUARANTINED_IDENTITY_CONFLICT,TRUE,SOURCE_EXPLICIT_USD_MATCH,PRICE_EVIDENCE_INCOMPLETE,PRIOR_CONTROL,RESIDUAL_TAG_RICHARD_MILLE_SHORTHAND,RESIDUAL_IDENTITY_OTHER,1000
admission_0b167f5ea958604a5ceafb9199b6e058107f9e747faf5f77e66a7f9e0a07d845,ea0880224e68db4dc47a8f00aa6eb3641c8c3e2a10e5b94e030a5b9f8f75777c,QUARANTINE_RESIDUAL_IDENTITY_CONFLICT,APPROVED_SINGLE_CANDIDATE,QUARANTINED_IDENTITY_CONFLICT,TRUE,SOURCE_EXPLICIT_USD_MATCH,PRICE_EVIDENCE_INCOMPLETE,PRIOR_CONTROL,RESIDUAL_TAG_RICHARD_MILLE_SHORTHAND,RESIDUAL_IDENTITY_OTHER,1000
admission_0e634a898b1be2017cb5fb0587b69e5918ab7d5188e9fd27214a024bfd622684,1d73d4bf739ea5a8b195cd6bfea2436a84a9188a8b84800399d8266097470f29,QUARANTINE_RESIDUAL_IDENTITY_CONFLICT,APPROVED_SINGLE_CANDIDATE,QUARANTINED_IDENTITY_CONFLICT,TRUE,SOURCE_EXPLICIT_USD_MATCH,PRICE_EVIDENCE_INCOMPLETE,PRIOR_CONTROL,RESIDUAL_TAG_RICHARD_MILLE_SHORTHAND,RESIDUAL_IDENTITY_OTHER,1000
admission_0fb646866a6b1456d5d76efd623b720230fdcb2cca83b5c56ac8342cacfb3593,d3e653cb7821bb66e229e08b317434045976774772f81ce1c4bbd86516e6450d,QUARANTINE_RESIDUAL_IDENTITY_CONFLICT,APPROVED_SINGLE_CANDIDATE,QUARANTINED_IDENTITY_CONFLICT,FALSE,,,,RESIDUAL_TAG_RICHARD_MILLE_SHORTHAND,RESIDUAL_IDENTITY_OTHER,1000
admission_1011de66e592166c80f5d625a5c12b476085e110e8411c1cfc4e19a2ae642243,bf60167f4284a315db77a8c98f7c11ba2742776a5d7a0ce6856e026872c45e6d,QUARANTINE_RESIDUAL_IDENTITY_CONFLICT,APPROVED_SINGLE_CANDIDATE,QUARANTINED_IDENTITY_CONFLICT,FALSE,,,,RESIDUAL_TAG_ROLEX_CATALOG_IDENTITY,RESIDUAL_IDENTITY_OTHER,1000
admission_194fb987cfa394761539d539f1ba7854288919e4b066298c53af82cb36f61fd3,e97321c795add7694a037318a4b5b8d6e39d32d7d92d6602aeb3e6ca1d1dff4c,QUARANTINE_RESIDUAL_IDENTITY_CONFLICT,APPROVED_SINGLE_CANDIDATE,QUARANTINED_IDENTITY_CONFLICT,FALSE,,,,RESIDUAL_TAG_ROLEX_CATALOG_IDENTITY,RESIDUAL_IDENTITY_OTHER,1000
admission_1eb254b2548ac3e7d5746d4dd26e5fe8e39347674f9d2ec26262f4d2e6cf67a2,d4a4b964dbb3c8c24a9312d2f23a911d3b889dab001c0afe2d6d61e21bdfd50c,QUARANTINE_RESIDUAL_IDENTITY_CONFLICT,APPROVED_SINGLE_CANDIDATE,QUARANTINED_IDENTITY_CONFLICT,FALSE,,,,RESIDUAL_TAG_RICHARD_MILLE_SHORTHAND,RESIDUAL_IDENTITY_OTHER,1000
